glyph_id	text	unicode	source_unit	unit_kind
140	隊	U+968A	隊	fullwidth_single
141	長	U+9577	長	fullwidth_single
142	火	U+706B	火	fullwidth_single
143	鬼	U+9B3C	鬼	fullwidth_single
144	機	U+6A5F	機	fullwidth_single
145	光	U+5149	光	fullwidth_single
146	束	U+675F	束	fullwidth_single
147	砲	U+7832	砲	fullwidth_single
148	座	U+5EA7	座	fullwidth_single
149	守	U+5B88	守	fullwidth_single
150	衛	U+885B	衛	fullwidth_single
151	那	U+90A3	那	fullwidth_single
152	薩	U+85A9	薩	fullwidth_single
153	沼	U+6CBC	沼	fullwidth_single
154	澤	U+6FA4	澤	fullwidth_single
155	怪	U+602A	怪	fullwidth_single
156	物	U+7269	物	fullwidth_single
157	神	U+795E	神	fullwidth_single
158	水	U+6C34	水	fullwidth_single
159	風	U+98A8	風	fullwidth_single
160	空	U+7A7A	空	fullwidth_single
161	女	U+5973	女	fullwidth_single
162	村	U+6751	村	fullwidth_single
163	民	U+6C11	民	fullwidth_single
164	男	U+7537	男	fullwidth_single
165	納	U+7D0D	納	fullwidth_single
166	恩	U+6069	恩	fullwidth_single
167	三	U+4E09	三	fullwidth_single
168	世	U+4E16	世	fullwidth_single
169	類	U+985E	類	fullwidth_single
170	族	U+65CF	族	fullwidth_single
171	械	U+68B0	械	fullwidth_single
172	元	U+5143	元	fullwidth_single
173	素	U+7D20	素	fullwidth_single
174	其	U+5176	其	fullwidth_single
175	他	U+4ED6	他	fullwidth_single
176	劍	U+528D	劍	fullwidth_single
177	雄	U+96C4	雄	fullwidth_single
178	召	U+53EC	召	fullwidth_single
179	喚	U+559A	喚	fullwidth_single
180	？	U+FF1F	？	fullwidth_single
181	　	U+3000	　	fullwidth_single
182	短	U+77ED	短	fullwidth_single
183	闊	U+95CA	闊	fullwidth_single
184	巨	U+5DE8	巨	fullwidth_single
185	斬	U+65AC	斬	fullwidth_single
186	流	U+6D41	流	fullwidth_single
187	炎	U+708E	炎	fullwidth_single
188	小	U+5C0F	小	fullwidth_single
189	刀	U+5200	刀	fullwidth_single
190	匕	U+5315	匕	fullwidth_single
191	首	U+9996	首	fullwidth_single
192	淬	U+6DEC	淬	fullwidth_single
193	毒	U+6BD2	毒	fullwidth_single
194	護	U+8B77	護	fullwidth_single
195	刺	U+523A	刺	fullwidth_single
196	矛	U+77DB	矛	fullwidth_single
197	槍	U+69CD	槍	fullwidth_single
198	戟	U+621F	戟	fullwidth_single
199	先	U+5148	先	fullwidth_single
200	鋒	U+92D2	鋒	fullwidth_single
201	馬	U+99AC	馬	fullwidth_single
202	黃	U+9EC3	黃	fullwidth_single
203	金	U+91D1	金	fullwidth_single
204	破	U+7834	破	fullwidth_single
205	斧	U+65A7	斧	fullwidth_single
206	迴	U+8FF4	迴	fullwidth_single
207	旋	U+65CB	旋	fullwidth_single
208	鎚	U+939A	鎚	fullwidth_single
209	血	U+8840	血	fullwidth_single
210	閃	U+9583	閃	fullwidth_single
211	電	U+96FB	電	fullwidth_single
212	暴	U+66B4	暴	fullwidth_single
213	力	U+529B	力	fullwidth_single
214	量	U+91CF	量	fullwidth_single
215	封	U+5C01	封	fullwidth_single
216	棍	U+68CD	棍	fullwidth_single
217	釘	U+91D8	釘	fullwidth_single
218	槤	U+69E4	槤	fullwidth_single
219	枷	U+67B7	枷	fullwidth_single
220	杖	U+6756	杖	fullwidth_single
221	咒	U+5492	咒	fullwidth_single
222	指	U+6307	指	fullwidth_single
223	套	U+5957	套	fullwidth_single
224	爪	U+722A	爪	fullwidth_single
225	皇	U+7687	皇	fullwidth_single
226	帝	U+5E1D	帝	fullwidth_single
227	環	U+74B0	環	fullwidth_single
228	殭	U+6BAD	殭	fullwidth_single
229	屍	U+5C4D	屍	fullwidth_single
230	碎	U+788E	碎	fullwidth_single
231	岩	U+5CA9	岩	fullwidth_single
232	鋼	U+92FC	鋼	fullwidth_single
233	裂	U+88C2	裂	fullwidth_single
234	刃	U+5203	刃	fullwidth_single
235	臂	U+81C2	臂	fullwidth_single
236	衝	U+885D	衝	fullwidth_single
237	炮	U+70AE	炮	fullwidth_single
238	拳	U+62F3	拳	fullwidth_single
239	利	U+5229	利	fullwidth_single
240	觸	U+89F8	觸	fullwidth_single
241	激	U+6FC0	激	fullwidth_single
242	牙	U+7259	牙	fullwidth_single
243	燄	U+71C4	燄	fullwidth_single
244	波	U+6CE2	波	fullwidth_single
245	震	U+9707	震	fullwidth_single
246	戒	U+6212	戒	fullwidth_single
247	勇	U+52C7	勇	fullwidth_single
248	徽	U+5FBD	徽	fullwidth_single
249	章	U+7AE0	章	fullwidth_single
250	契	U+5951	契	fullwidth_single
251	印	U+5370	印	fullwidth_single
252	領	U+9818	領	fullwidth_single
253	悟	U+609F	悟	fullwidth_single
254	書	U+66F8	書	fullwidth_single
255	心	U+5FC3	心	fullwidth_single
256	眼	U+773C	眼	fullwidth_single
257	白	U+767D	白	fullwidth_single
258	生	U+751F	生	fullwidth_single
